id,vendor_id,invoice_no,date,amount,itc_claimed,payment_mode,eway_bill
T0080,V014,INV/2504/253,2025-04-08,229000,34932,NEFT,EWB420151306238
T0081,V014,INV/2509/672,2025-09-21,460000,70169,NEFT,EWB129768998953
T0082,V014,INV/2512/674,2025-12-01,121000,18458,NEFT,EWB857520105778
T0083,V014,INV/2512/126,2025-12-07,695000,106017,NEFT,EWB487998358040
T0084,V014,INV/2601/226,2026-01-25,619000,94424,NEFT,EWB649280428655
T0085,V015,INV/2505/103,2025-05-28,844000,128746,NEFT,EWB289727345629
T0086,V015,INV/2506/232,2025-06-04,400000,61017,NEFT,EWB971704281772
T0087,V015,INV/2507/181,2025-07-23,479000,73068,NEFT,EWB900327379116
T0088,V015,INV/2503/395,2025-03-21,517000,78864,NEFT,EWB401374972012
T0089,V015,INV/2603/130,2026-03-11,779000,118831,NEFT,EWB974506216680
T0090,V016,INV/2512/179,2025-12-09,851000,129814,NEFT,EWB276440967356
T0091,V016,INV/2609/890,2026-09-02,112000,17085,NEFT,EWB666519724277
T0092,V016,INV/2607/640,2026-07-07,52000,7932,NEFT,EWB131661214669
T0093,V016,INV/2603/298,2026-03-31,422000,64373,NEFT,EWB681271303738
T0094,V017,INV/2608/255,2026-08-16,596000,90915,NEFT,EWB808384629828
T0095,V017,INV/2604/133,2026-04-25,202000,30814,NEFT,EWB520578215131
T0096,V017,INV/2510/503,2025-10-14,329000,50186,NEFT,EWB230986154289
T0097,V017,INV/2511/714,2025-11-22,373000,56898,NEFT,EWB741259557462
T0098,V017,INV/2504/870,2025-04-10,216000,32949,NEFT,EWB801835699115
T0099,V018,INV/2511/185,2025-11-07,611000,93203,NEFT,EWB200280906008
T0100,V018,INV/2504/396,2025-04-16,707000,107847,NEFT,EWB699906597084
T0101,V018,INV/2505/762,2025-05-01,483000,73678,NEFT,EWB490249777357
T0102,V018,INV/2603/302,2026-03-25,595000,90763,NEFT,EWB587178326373
T0103,V018,INV/2608/578,2026-08-06,461000,70322,NEFT,EWB888900037170
T0104,V019,INV/2508/714,2025-08-12,629000,95949,NEFT,EWB953189519661
T0105,V019,INV/2607/731,2026-07-09,754000,115017,NEFT,EWB314193649415
T0106,V019,INV/2511/180,2025-11-13,352000,53695,NEFT,EWB702965018335
T0107,V019,INV/2509/778,2025-09-26,178000,27153,NEFT,EWB587214244777
T0108,V019,INV/2601/286,2026-01-12,834000,127220,NEFT,EWB847443481705
T0109,V019,INV/2604/295,2026-04-15,610000,93051,NEFT,EWB665501526339
T0110,V020,INV/2603/178,2026-03-01,194000,29593,NEFT,EWB453844455211
T0111,V020,INV/2512/817,2025-12-19,134000,20441,NEFT,EWB550768391004
T0112,V020,INV/2602/460,2026-02-10,274000,41797,NEFT,EWB905609147163
T0113,V020,INV/2601/178,2026-01-24,329000,50186,NEFT,EWB959990545919
T0114,V020,INV/2602/740,2026-02-14,530000,80847,NEFT,EWB153575559440
T0115,V020,INV/2511/831,2025-11-13,40000,6102,NEFT,
T0116,V020,INV/2503/825,2025-03-10,485000,73983,NEFT,EWB630600566422
T0117,V020,INV/2603/728,2026-03-24,51000,7780,NEFT,EWB734956914946
T0118,V021,INV/2601/651,2026-01-14,62000,9458,NEFT,EWB452965305053
T0119,V021,INV/2603/309,2026-03-16,344000,52475,NEFT,EWB783557430374
T0120,V021,INV/2606/235,2026-06-05,436000,66508,NEFT,EWB449762287533
T0121,V022,INV/2510/476,2025-10-05,451000,68797,NEFT,EWB260156551276
T0122,V022,INV/2608/856,2026-08-09,799000,121881,NEFT,EWB256971328081
T0123,V022,INV/2511/518,2025-11-11,333000,50797,NEFT,EWB359749589228
T0124,V022,INV/2504/285,2025-04-10,150000,22881,NEFT,EWB342020748225
T0125,V022,INV/2608/792,2026-08-30,364000,55525,NEFT,EWB640180673792
T0126,V022,INV/2608/695,2026-08-09,395000,60254,NEFT,EWB733886202374
T0127,V022,INV/2503/250,2025-03-06,133000,20288,NEFT,EWB130539208941
T0128,V023,INV/2606/214,2026-06-16,704000,107390,NEFT,EWB789923472623
T0129,V023,INV/2510/616,2025-10-18,593000,90458,NEFT,EWB806876805255
T0130,V023,INV/2511/521,2025-11-18,385000,58729,NEFT,EWB841541230637
T0131,V024,INV/2503/719,2025-03-29,305000,46525,NEFT,EWB963792034000
T0132,V024,INV/2508/709,2025-08-05,148000,22576,NEFT,EWB436687281781
T0133,V024,INV/2509/413,2025-09-28,245000,37373,NEFT,EWB539795066635
T0134,V024,INV/2510/690,2025-10-31,452000,68949,NEFT,EWB583658096783
T0135,V024,INV/2503/759,2025-03-04,511000,77949,NEFT,EWB128882055124
T0136,V024,INV/2508/489,2025-08-13,513000,78254,NEFT,EWB616302578486
T0137,V024,INV/2503/449,2025-03-14,414000,63153,NEFT,EWB628302568097
T0138,V024,INV/2506/290,2025-06-29,590000,90000,NEFT,EWB187923616066
T0139,V025,INV/2506/426,2025-06-02,212000,32339,NEFT,EWB808056009629
T0140,V025,INV/2512/771,2025-12-03,610000,93051,NEFT,EWB711018273422
T0141,V025,INV/2604/872,2026-04-15,516000,78712,NEFT,EWB969816166481
T0142,V025,INV/2503/927,2025-03-19,487000,74288,NEFT,EWB223799618253
T0143,V026,INV/2505/932,2025-05-22,871000,132864,NEFT,EWB969888622525
T0144,V026,INV/2506/251,2025-06-18,471000,71847,NEFT,EWB455822285152
T0145,V026,INV/2608/308,2026-08-23,79000,12051,NEFT,EWB983361432615
T0146,V026,INV/2601/146,2026-01-10,484000,73831,NEFT,EWB861024074989
T0147,V026,INV/2607/958,2026-07-13,550000,83898,NEFT,EWB590172417044
T0148,V027,INV/2604/531,2026-04-24,70000,10678,NEFT,EWB384837488562
T0149,V027,INV/2601/968,2026-01-04,737000,112424,NEFT,EWB554160194232
T0150,V027,INV/2603/598,2026-03-23,642000,97932,NEFT,EWB792580923503
T0151,V027,INV/2503/454,2025-03-31,635000,96864,NEFT,EWB615269039768
T0152,V027,INV/2504/830,2025-04-15,635000,96864,NEFT,EWB716546859138
T0153,V027,INV/2608/604,2026-08-13,608000,92746,NEFT,EWB669359520094
T0154,V027,INV/2603/388,2026-03-15,853000,130119,NEFT,EWB193705810987
T0155,V028,INV/2607/315,2026-07-17,52000,7932,NEFT,EWB969308330046
T0156,V028,INV/2512/956,2025-12-19,446000,68034,NEFT,EWB226290653174
T0157,V028,INV/2509/459,2025-09-11,474000,72305,NEFT,EWB501820682284
T0158,V028,INV/2512/624,2025-12-29,217000,33102,NEFT,EWB407934091183
T0159,V029,INV/2604/981,2026-04-20,414000,63153,NEFT,EWB924837837019
T0160,V029,INV/2508/724,2025-08-04,659000,100525,NEFT,EWB845658137285
T0161,V029,INV/2602/258,2026-02-17,602000,91831,NEFT,EWB738388281833
T0162,V030,INV/2505/393,2025-05-09,500000,76271,NEFT,
T0163,V030,INV/2506/701,2025-06-21,250000,38136,NEFT,
T0164,V030,INV/2508/338,2025-08-14,750000,114407,NEFT,
T0165,V030,INV/2509/422,2025-09-27,500000,76271,NEFT,
T0166,V030,INV/2511/442,2025-11-06,750000,114407,NEFT,
T0167,V030,INV/2601/912,2026-01-19,500000,76271,Cash,EWB886717992455
T0168,V030,INV/2602/289,2026-02-25,1000000,152542,Cash,EWB406907387159
T0169,V031,INV/2505/618,2025-05-09,750000,114407,NEFT,
T0170,V031,INV/2506/938,2025-06-21,500000,76271,NEFT,
T0171,V031,INV/2508/377,2025-08-14,250000,38136,NEFT,EWB463946894121
T0172,V031,INV/2509/545,2025-09-27,1000000,152542,NEFT,EWB475150157649
T0173,V031,INV/2511/193,2025-11-06,500000,76271,Cash,EWB617335399654
T0174,V031,INV/2601/508,2026-01-19,750000,114407,NEFT,EWB347315372964
T0175,V031,INV/2602/239,2026-02-25,250000,38136,NEFT,EWB817196780163
T0176,V032,INV/2505/985,2025-05-09,1000000,152542,NEFT,
T0177,V032,INV/2506/912,2025-06-21,500000,76271,Cash,EWB669879507222
T0178,V032,INV/2508/841,2025-08-14,750000,114407,NEFT,EWB820434304126
T0179,V032,INV/2509/455,2025-09-27,1000000,152542,NEFT,EWB438119874989
T0180,V032,INV/2511/390,2025-11-06,250000,38136,NEFT,
T0181,V032,INV/2601/782,2026-01-19,500000,76271,Cash,
T0182,V032,INV/2602/300,2026-02-25,1000000,152542,Cash,EWB957169777393
T0183,V033,INV/2507/777,2025-07-03,240000,36610,NEFT,EWB147646347965
T0184,V033,INV/2510/993,2025-10-17,125000,19068,NEFT,EWB167168203920
T0185,V033,INV/2602/967,2026-02-08,285000,43475,NEFT,EWB876468181853
T0186,V034,INV/2507/524,2025-07-03,340000,51864,NEFT,EWB532406073655
T0187,V034,INV/2510/891,2025-10-17,135000,20593,NEFT,EWB502120284963
T0188,V034,INV/2602/144,2026-02-08,300000,45763,NEFT,EWB288862297836
